z	mB	err_mB
0.01724	14.9294	0.024211359999999998
0.07063	18.05925	0.015104409999999999
0.05344	17.62205	0.019544040000000002
0.02878	16.10835	0.0147744025
0.03518	16.42245	0.023210522500000004
0.03348	16.4802	0.023210522500000004
0.04651	17.18185	0.013514062500000002
0.06119	17.9246	0.0141729025
0.04714	17.16275	0.015165922499999998
0.0212	15.4466	0.02064969
0.04028	16.8206	0.012848222500000001
0.03863	16.86145	0.01625625
0.03314	16.39225	0.0149206225
0.02414	15.68035	0.016666809999999997
0.02837	16.1044	0.0147744025
0.01043	13.9248	0.0401401225
0.02038	15.42955	0.0201214225
0.0471	16.9842	0.0209236225
0.03984	16.7074	0.013133159999999998
0.0122	14.4566	0.030171689999999998
0.01271	14.2811	0.03059001
0.01763	14.9354	0.02439844
0.02171	15.502	0.018536822499999998
0.01572	14.86115	0.03759721
0.01972	15.27645	0.024916622499999996
0.01678	14.92685	0.0253605625
0.01226	14.4674	0.0315595225
0.05322	17.57915	0.016396802499999998
0.03055	15.88935	0.20326572249999997
0.03001	16.1733	0.014460062499999999
0.01506	14.6193	0.0238548025
0.0153	14.6705	0.02119936
0.04713	17.1679	0.01324801
0.03411	16.515	0.01317904
0.0152	14.53545	0.026732250000000003
0.01504	14.69915	0.022230810000000004
0.02763	16.23455	0.013900410000000002
0.03359	16.59355	0.01125721
0.01447	14.6408	0.0274068025
0.02547	15.86575	0.015425640000000001
0.01082	14.0086	0.034021802500000003
0.01741	15.1	0.022440039999999998
0.02031	15.30565	0.01830609
0.04819	17.4344	0.0148230625
0.02223	15.3918	0.0174372025
0.02811	16.3465	0.015587522500000001
0.05458	17.4521	0.010363240000000001
0.05721	17.60445	0.011968359999999999
0.02091	15.36595	0.01871424
0.01454	14.99535	0.02742336
0.0431	16.97675	0.011416922500000001
0.03273	16.3843	0.014520249999999998
0.03399	16.35135	0.012332102499999999
0.01382	14.47835	0.023669822499999996
0.05092	17.42035	0.014981759999999998
0.01752	15.0558	0.02146225
0.02482	15.64995	0.018184522499999998
0.0288	16.09165	0.0185096025
0.01568	14.7589	0.02325625
0.02197	15.36745	0.02062096
0.03426	16.4701	0.014460062499999999
0.01698	14.6697	0.02427364
0.02752	16.23595	0.01798281
0.03438	16.6071	0.014653102500000001
0.01318	14.55605	0.029877122500000002
0.01726	14.9156	0.022831210000000005
0.01209	13.9791	0.03663395999999999
0.05418	17.3218	0.012961822500000001
0.0197	15.45455	0.024900839999999997
0.01662	14.6312	0.021623702499999994
0.02398	15.8239	0.0182925625
0.03144	16.31895	0.0145805625
0.01291	14.1903	0.02944656
0.03827	16.99715	0.01442401
0.01532	14.9486	0.0269124025
0.02643	15.91835	0.020306249999999998
0.0202	15.02285	0.0229977225
0.0373	16.8196	0.0132365025
0.02348	15.66265	0.019307102499999996
0.01635	14.8831	0.023043239999999996
0.02275	15.5348	0.018564062500000002
0.23027	21.0138	0.0214476025
0.38164	22.52675	0.0198387225
0.2534	21.09145	0.012645002499999999
0.15269	19.93715	0.013421222499999998
0.43673	22.84545	0.0201214225
0.10242	19.15365	0.011599290000000002
0.37164	22.12745	0.011331602500000001
0.46664	22.7822	0.0135606025
0.19602	20.50135	0.011881
0.31156	21.7417	0.0117180625
0.0322	16.472	0.01661521
0.10989	19.29245	0.0146047225
0.22562	20.723	0.0154380625
0.26051	21.22765	0.0150430225
0.22556	20.8629	0.015079840000000002
0.44758	22.59905	0.02322576
0.44007	22.85455	0.028645562500000003
0.33742	21.74045	0.021330602500000004
0.52851	22.8422	0.0204919225
0.57613	23.2359	0.0210685225
0.38775	22.3891	0.0252333225
0.36001	21.92755	0.01782225
0.34701	21.7912	0.019726202499999998
0.43927	22.56615	0.017424000000000002
0.34923	21.8575	0.013398062500000002
